"chargeDeviceID","latitude","longitude","town","county","postcode","chargeDeviceStatus","dateCreated","dateUpdated","lastUpdated","locationType","GSS_CODE"
"b353888fbc3ee702b41d30669a23e12d",51.54491,-0.00876,"Stratford","London","E20 1YY","In service","2020-01-06 15:36:08","2020-01-06 15:36:08","","Public car park","E20 1YY"
"f53d6d41d4ea910e11d4ea914d58b803",51.54491,-0.00876,"Stratford","London","E20 1YY","In service","2020-01-06 15:36:08","2020-01-06 15:36:08","","Public car park","E20 1YY"
"61ef7c5a4cdc44aa15d46293f1f185b8",51.54491,-0.00876,"Stratford","London","E20 1YY","In service","2020-01-06 15:36:08","2020-01-06 15:36:08","","Public car park","E20 1YY"
"3ae50acb1eb21a62b4f1d6620f155c10",51.54491,-0.00876,"Stratford","London","E20 1YY","In service","2020-01-06 15:36:08","2020-01-06 15:36:08","","Public car park","E20 1YY"
"3c348a8f6ea52056921b931828359346",51.54491,-0.00876,"Stratford","London","E20 1YY","In service","2020-01-06 15:36:08","2020-01-06 15:36:08","","Public car park","E20 1YY"
"6e785fdfb123ff8b192f26cf595f74b1",51.54491,-0.00876,"Stratford","London","E20 1YY","In service","2020-01-06 15:36:08","2020-01-06 15:36:08","","Public car park","E20 1YY"
"f1a691a302e0704777146901f76ed7d8",51.45921,-0.07978,"London","London","SE22 8PT","In service","2020-08-11 12:35:50","2020-08-11 12:35:50","","Retail car park","SE22 8PT"
"815fd582e7db999144860fdf407e6745",51.45921,-0.07978,"London","London","SE22 8PT","In service","2020-08-11 12:35:50","2020-08-11 12:35:50","","Retail car park","SE22 8PT"
"89da5fbf7c4df3fad9fba0cb7e4e57ee",51.493353,0.121443,"London","London","SE2 9SA","In service","2017-10-09 11:30:33","2020-01-06 14:48:04","2019-10-12 16:21:11","Service station","SE2 9SA"
"3386ed26f4546ec93b595aa4cfb344d8",51.443777,0.063496,"London","London","SE9 2TD","In service","2018-03-12 15:10:10","2020-01-07 14:23:57","2019-10-12 17:01:01","Service station","SE9 2TD"
